project_title,project_based_club
project108,University of Illinois Chicago MedWish
project109,University of Illinois Chicago Rocket Team
project110,University of Illinois Chicago Global Health Design Collaborative
project111,University of Illinois Chicago Graduate Civil Engineering Student Association
project112,University of Illinois Chicago Medical Technology Group
project113,University of Illinois Chicago oSTEM
project114,University of Illinois Chicago Society of Hispanic Professional Engineers
project115,University of Illinois Chicago Society of Women Engineers
project116,University of Illinois Chicago Steel Bridge Team
project117,University of Illinois Chicago Theta Tau
project118,University of Illinois Chicago Women in Science and Engineering Roundtable
project119,University of Illinois Chicago American Marketing Association
project120,University of Illinois Chicago Association for Computing Machinery
project121,University of Illinois Chicago Neuroscience Society
project122,University of Illinois Chicago Orchestra
project123,University of Illinois Chicago Developer Student Club
project124,University of Illinois Chicago Design For America
project125,University of Illinois Chicago Discussions Undergraduate Research Journal
project126,University of Illinois Urbana Champaign Engineers Without Borders
project127,University of Illinois Urbana Champaign Girls Who Code
project128,University of Illinois Urbana Champaign Hackers Society
project129,University of Illinois Urbana Champaign Biomedical Engineering Society
project130,University of Illinois Urbana Champaign American Institute of Chemical Engineers
project131,University of Illinois Urbana Champaign Baja Sae
project132,University of Illinois Urbana Champaign Aeronautics Team
project133,University of Illinois Urbana Champaign MedWish
project134,University of Illinois Urbana Champaign Rocket Team
project135,University of Illinois Urbana Champaign Global Health Design Collaborative
project136,University of Illinois Urbana Champaign Graduate Civil Engineering Student Association
project137,University of Illinois Urbana Champaign Medical Technology Group
project138,University of Illinois Urbana Champaign oSTEM
project139,University of Illinois Urbana Champaign Society of Hispanic Professional Engineers
project140,University of Illinois Urbana Champaign Society of Women Engineers
project141,University of Illinois Urbana Champaign Steel Bridge Team
project142,University of Illinois Urbana Champaign Theta Tau
project143,University of Illinois Urbana Champaign Women in Science and Engineering Roundtable
project144,University of Illinois Urbana Champaign American Marketing Association
project145,University of Illinois Urbana Champaign Association for Computing Machinery
project146,University of Illinois Urbana Champaign Neuroscience Society
project147,University of Illinois Urbana Champaign Orchestra
project148,University of Illinois Urbana Champaign Developer Student Club
project149,University of Illinois Urbana Champaign Design For America
project150,University of Illinois Urbana Champaign Discussions Undergraduate Research Journal
project151,University of Michigan Engineers Without Borders
project152,University of Michigan Girls Who Code
project153,University of Michigan Hackers Society
project154,University of Michigan Biomedical Engineering Society
project155,University of Michigan American Institute of Chemical Engineers
project156,University of Michigan Baja Sae
project157,University of Michigan Aeronautics Team
project158,University of Michigan MedWish
project159,University of Michigan Rocket Team
project160,University of Michigan Global Health Design Collaborative
project161,University of Michigan Graduate Civil Engineering Student Association
project162,University of Michigan Medical Technology Group
project163,University of Michigan oSTEM
project164,University of Michigan Society of Hispanic Professional Engineers
project165,University of Michigan Society of Women Engineers
project166,University of Michigan Steel Bridge Team
project167,University of Michigan Theta Tau
project168,University of Michigan Women in Science and Engineering Roundtable
project169,University of Michigan American Marketing Association
project170,University of Michigan Association for Computing Machinery
project171,University of Michigan Neuroscience Society
project172,University of Michigan Orchestra
project173,University of Michigan Developer Student Club
project174,University of Michigan Design For America
project175,University of Michigan Discussions Undergraduate Research Journal
project176,Carnegie Mellon University Engineers Without Borders
project177,Carnegie Mellon University Girls Who Code
project178,Carnegie Mellon University Hackers Society
project179,Carnegie Mellon University Biomedical Engineering Society
project180,Carnegie Mellon University American Institute of Chemical Engineers
project181,Carnegie Mellon University Baja Sae
project182,Carnegie Mellon University Aeronautics Team
project183,Carnegie Mellon University MedWish
project184,Carnegie Mellon University Rocket Team
project185,Carnegie Mellon University Global Health Design Collaborative
project186,Carnegie Mellon University Graduate Civil Engineering Student Association
project187,Carnegie Mellon University Medical Technology Group
project188,Carnegie Mellon University oSTEM
project189,Carnegie Mellon University Society of Hispanic Professional Engineers
project190,Carnegie Mellon University Society of Women Engineers
project191,Carnegie Mellon University Steel Bridge Team
project192,Carnegie Mellon University Theta Tau
project193,Carnegie Mellon University Women in Science and Engineering Roundtable
project194,Carnegie Mellon University American Marketing Association
project195,Carnegie Mellon University Association for Computing Machinery
project196,Carnegie Mellon University Neuroscience Society
project197,Carnegie Mellon University Orchestra
project198,Carnegie Mellon University Developer Student Club
project199,Carnegie Mellon University Design For America
project200,Carnegie Mellon University Discussions Undergraduate Research Journal
project201,New York University Engineers Without Borders
project202,New York University Girls Who Code
project203,New York University Hackers Society
project204,New York University Biomedical Engineering Society
project205,New York University American Institute of Chemical Engineers
project206,New York University Baja Sae
project207,New York University Aeronautics Team
project208,New York University MedWish
project209,New York University Rocket Team
project210,New York University Global Health Design Collaborative
project211,New York University Graduate Civil Engineering Student Association
project212,New York University Medical Technology Group
project213,New York University oSTEM
project214,New York University Society of Hispanic Professional Engineers
project215,New York University Society of Women Engineers
project216,New York University Steel Bridge Team
project217,New York University Theta Tau
project218,New York University Women in Science and Engineering Roundtable
project219,New York University American Marketing Association
project220,New York University Association for Computing Machinery
project221,New York University Neuroscience Society
project222,New York University Orchestra
project223,New York University Developer Student Club
project224,New York University Design For America
project225,New York University Discussions Undergraduate Research Journal
project226,Columbia University Engineers Without Borders
project227,Columbia University Girls Who Code
project228,Columbia University Hackers Society
project229,Columbia University Biomedical Engineering Society
project230,Columbia University American Institute of Chemical Engineers
project231,Columbia University Baja Sae
project232,Columbia University Aeronautics Team
project233,Columbia University MedWish
project234,Columbia University Rocket Team
project235,Columbia University Global Health Design Collaborative
project236,Columbia University Graduate Civil Engineering Student Association
project237,Columbia University Medical Technology Group
project238,Columbia University oSTEM
project239,Columbia University Society of Hispanic Professional Engineers
project240,Columbia University Society of Women Engineers
project241,Columbia University Steel Bridge Team
project242,Columbia University Theta Tau
project243,Columbia University Women in Science and Engineering Roundtable
project244,Columbia University American Marketing Association
project245,Columbia University Association for Computing Machinery
project246,Columbia University Neuroscience Society
project247,Columbia University Orchestra
project248,Columbia University Developer Student Club
project249,Columbia University Design For America
project250,Columbia University Discussions Undergraduate Research Journal
project251,Cornell University Engineers Without Borders
project252,Cornell University Girls Who Code
project253,Cornell University Hackers Society
project254,Cornell University Biomedical Engineering Society
project255,Cornell University American Institute of Chemical Engineers
project256,Cornell University Baja Sae
project257,Cornell University Aeronautics Team
project258,Cornell University MedWish
project259,Cornell University Rocket Team
project260,Cornell University Global Health Design Collaborative
project261,Cornell University Graduate Civil Engineering Student Association
project262,Cornell University Medical Technology Group
project263,Cornell University oSTEM
project264,Cornell University Society of Hispanic Professional Engineers
project265,Cornell University Society of Women Engineers
project266,Cornell University Steel Bridge Team
project267,Cornell University Theta Tau
project268,Cornell University Women in Science and Engineering Roundtable
project269,Cornell University American Marketing Association
project270,Cornell University Association for Computing Machinery
project271,Cornell University Neuroscience Society
project272,Cornell University Orchestra
project273,Cornell University Developer Student Club
project274,Cornell University Design For America
project275,Cornell University Discussions Undergraduate Research Journal
project276,University of Texas at Austin Engineers Without Borders
project277,University of Texas at Austin Girls Who Code
project278,University of Texas at Austin Hackers Society
project279,University of Texas at Austin Biomedical Engineering Society
project280,University of Texas at Austin American Institute of Chemical Engineers
project281,University of Texas at Austin Baja Sae
project282,University of Texas at Austin Aeronautics Team
project283,University of Texas at Austin MedWish
project284,University of Texas at Austin Rocket Team
project285,University of Texas at Austin Global Health Design Collaborative
project286,University of Texas at Austin Graduate Civil Engineering Student Association
project287,University of Texas at Austin Medical Technology Group
project288,University of Texas at Austin oSTEM
project289,University of Texas at Austin Society of Hispanic Professional Engineers
project290,University of Texas at Austin Society of Women Engineers
project291,University of Texas at Austin Steel Bridge Team
project292,University of Texas at Austin Theta Tau
project293,University of Texas at Austin Women in Science and Engineering Roundtable
project294,University of Texas at Austin American Marketing Association
project295,University of Texas at Austin Association for Computing Machinery
project296,University of Texas at Austin Neuroscience Society
project297,University of Texas at Austin Orchestra
project298,University of Texas at Austin Developer Student Club
project299,University of Texas at Austin Design For America
project300,University of Texas at Austin Discussions Undergraduate Research Journal
project301,Michigan State University Engineers Without Borders
project302,Michigan State University Girls Who Code
project303,Michigan State University Hackers Society
project304,Michigan State University Biomedical Engineering Society
project305,Michigan State University American Institute of Chemical Engineers
project306,Michigan State University Baja Sae
project307,Michigan State University Aeronautics Team
project308,Michigan State University MedWish
project309,Michigan State University Rocket Team
project310,Michigan State University Global Health Design Collaborative
project311,Michigan State University Graduate Civil Engineering Student Association
project312,Michigan State University Medical Technology Group
project313,Michigan State University oSTEM
project314,Michigan State University Society of Hispanic Professional Engineers
project315,Michigan State University Society of Women Engineers
project316,Michigan State University Steel Bridge Team
project317,Michigan State University Theta Tau
project318,Michigan State University Women in Science and Engineering Roundtable
project319,Michigan State University American Marketing Association
project320,Michigan State University Association for Computing Machinery
project321,Michigan State University Neuroscience Society
project322,Michigan State University Orchestra
project323,Michigan State University Developer Student Club
project324,Michigan State University Design For America
project325,Michigan State University Discussions Undergraduate Research Journal
project326,Harvard University Engineers Without Borders
project327,Harvard University Girls Who Code
project328,Harvard University Hackers Society
project329,Harvard University Biomedical Engineering Society
project330,Harvard University American Institute of Chemical Engineers
project331,Harvard University Baja Sae
project332,Harvard University Aeronautics Team
project333,Harvard University MedWish
project334,Harvard University Rocket Team
project335,Harvard University Global Health Design Collaborative
project336,Harvard University Graduate Civil Engineering Student Association
project337,Harvard University Medical Technology Group
project338,Harvard University oSTEM
project339,Harvard University Society of Hispanic Professional Engineers
project340,Harvard University Society of Women Engineers
project341,Harvard University Steel Bridge Team
project342,Harvard University Theta Tau
project343,Harvard University Women in Science and Engineering Roundtable
project344,Harvard University American Marketing Association
project345,Harvard University Association for Computing Machinery
project346,Harvard University Neuroscience Society
project347,Harvard University Orchestra
project348,Harvard University Developer Student Club
project349,Harvard University Design For America
project350,Harvard University Discussions Undergraduate Research Journal
project351,Boston University Engineers Without Borders
project352,Boston University Girls Who Code
project353,Boston University Hackers Society
project354,Boston University Biomedical Engineering Society
project355,Boston University American Institute of Chemical Engineers
project356,Boston University Baja Sae
project357,Boston University Aeronautics Team
project358,Boston University MedWish
project359,Boston University Rocket Team
project360,Boston University Global Health Design Collaborative
project361,Boston University Graduate Civil Engineering Student Association
project362,Boston University Medical Technology Group
project363,Boston University oSTEM
project364,Boston University Society of Hispanic Professional Engineers
project365,Boston University Society of Women Engineers
project366,Boston University Steel Bridge Team
project367,Boston University Theta Tau
project368,Boston University Women in Science and Engineering Roundtable
project369,Boston University American Marketing Association
project370,Boston University Association for Computing Machinery
project371,Boston University Neuroscience Society
project372,Boston University Orchestra
project373,Boston University Developer Student Club
project374,Boston University Design For America
project375,Boston University Discussions Undergraduate Research Journal
project376,Massachusetts Institute of Technology Engineers Without Borders
project377,Massachusetts Institute of Technology Girls Who Code
project378,Massachusetts Institute of Technology Hackers Society
project379,Massachusetts Institute of Technology Biomedical Engineering Society
project380,Massachusetts Institute of Technology American Institute of Chemical Engineers
project381,Massachusetts Institute of Technology Baja Sae
project382,Massachusetts Institute of Technology Aeronautics Team
project383,Massachusetts Institute of Technology MedWish
project384,Massachusetts Institute of Technology Rocket Team
project385,Massachusetts Institute of Technology Global Health Design Collaborative
project386,Massachusetts Institute of Technology Graduate Civil Engineering Student Association
project387,Massachusetts Institute of Technology Medical Technology Group
project388,Massachusetts Institute of Technology oSTEM
project389,Massachusetts Institute of Technology Society of Hispanic Professional Engineers
project390,Massachusetts Institute of Technology Society of Women Engineers
project391,Massachusetts Institute of Technology Steel Bridge Team
project392,Massachusetts Institute of Technology Theta Tau
project393,Massachusetts Institute of Technology Women in Science and Engineering Roundtable
project394,Massachusetts Institute of Technology American Marketing Association
project395,Massachusetts Institute of Technology Association for Computing Machinery
project396,Massachusetts Institute of Technology Neuroscience Society
project397,Massachusetts Institute of Technology Orchestra
project398,Massachusetts Institute of Technology Developer Student Club
project399,Massachusetts Institute of Technology Design For America
project400,Massachusetts Institute of Technology Discussions Undergraduate Research Journal
project401,Northeastern University Engineers Without Borders
project402,Northeastern University Girls Who Code
project403,Northeastern University Hackers Society
project404,Northeastern University Biomedical Engineering Society
project405,Northeastern University American Institute of Chemical Engineers
project406,Northeastern University Baja Sae
project407,Northeastern University Aeronautics Team
project408,Northeastern University MedWish
project409,Northeastern University Rocket Team
project410,Northeastern University Global Health Design Collaborative
project411,Northeastern University Graduate Civil Engineering Student Association
project412,Northeastern University Medical Technology Group
project413,Northeastern University oSTEM
project414,Northeastern University Society of Hispanic Professional Engineers
project415,Northeastern University Society of Women Engineers
project416,Northeastern University Steel Bridge Team
project417,Northeastern University Theta Tau
project418,Northeastern University Women in Science and Engineering Roundtable
project419,Northeastern University American Marketing Association
project420,Northeastern University Association for Computing Machinery
project421,Northeastern University Neuroscience Society
project422,Northeastern University Orchestra
project423,Northeastern University Developer Student Club
project424,Northeastern University Design For America
project425,Northeastern University Discussions Undergraduate Research Journal
project426,Harvey Mudd College Engineers Without Borders
project427,Harvey Mudd College Girls Who Code
project428,Harvey Mudd College Hackers Society
project429,Harvey Mudd College Biomedical Engineering Society
project430,Harvey Mudd College American Institute of Chemical Engineers
project431,Harvey Mudd College Baja Sae
project432,Harvey Mudd College Aeronautics Team
project433,Harvey Mudd College MedWish
project434,Harvey Mudd College Rocket Team
project435,Harvey Mudd College Global Health Design Collaborative
project436,Harvey Mudd College Graduate Civil Engineering Student Association
project437,Harvey Mudd College Medical Technology Group
project438,Harvey Mudd College oSTEM
project439,Harvey Mudd College Society of Hispanic Professional Engineers
project440,Harvey Mudd College Society of Women Engineers
project441,Harvey Mudd College Steel Bridge Team
project442,Harvey Mudd College Theta Tau
project443,Harvey Mudd College Women in Science and Engineering Roundtable
project444,Harvey Mudd College American Marketing Association
project445,Harvey Mudd College Association for Computing Machinery
project446,Harvey Mudd College Neuroscience Society
project447,Harvey Mudd College Orchestra
project448,Harvey Mudd College Developer Student Club
project449,Harvey Mudd College Design For America
project450,Harvey Mudd College Discussions Undergraduate Research Journal
project451,Middlebury College Engineers Without Borders
project452,Middlebury College Girls Who Code
project453,Middlebury College Hackers Society
project454,Middlebury College Biomedical Engineering Society
project455,Middlebury College American Institute of Chemical Engineers
project456,Middlebury College Baja Sae
project457,Middlebury College Aeronautics Team
project458,Middlebury College MedWish
project459,Middlebury College Rocket Team
project460,Middlebury College Global Health Design Collaborative
project461,Middlebury College Graduate Civil Engineering Student Association
project462,Middlebury College Medical Technology Group
project463,Middlebury College oSTEM
project464,Middlebury College Society of Hispanic Professional Engineers
project465,Middlebury College Society of Women Engineers
project466,Middlebury College Steel Bridge Team
project467,Middlebury College Theta Tau
project468,Middlebury College Women in Science and Engineering Roundtable
project469,Middlebury College American Marketing Association
project470,Middlebury College Association for Computing Machinery
project471,Middlebury College Neuroscience Society
project472,Middlebury College Orchestra
project473,Middlebury College Developer Student Club
project474,Middlebury College Design For America
project475,Middlebury College Discussions Undergraduate Research Journal
project476,University of Pennsylvania  Engineers Without Borders
project477,University of Pennsylvania  Girls Who Code
project478,University of Pennsylvania  Hackers Society
project479,University of Pennsylvania  Biomedical Engineering Society
project480,University of Pennsylvania  American Institute of Chemical Engineers
project481,University of Pennsylvania  Baja Sae
project482,University of Pennsylvania  Aeronautics Team
project483,University of Pennsylvania  MedWish
project484,University of Pennsylvania  Rocket Team
project485,University of Pennsylvania  Global Health Design Collaborative
project486,University of Pennsylvania  Graduate Civil Engineering Student Association
project487,University of Pennsylvania  Medical Technology Group
project488,University of Pennsylvania  oSTEM
project489,University of Pennsylvania  Society of Hispanic Professional Engineers
project490,University of Pennsylvania  Society of Women Engineers
project491,University of Pennsylvania  Steel Bridge Team
project492,University of Pennsylvania  Theta Tau
project493,University of Pennsylvania  Women in Science and Engineering Roundtable
project494,University of Pennsylvania  American Marketing Association
project495,University of Pennsylvania  Association for Computing Machinery
project496,University of Pennsylvania  Neuroscience Society
project497,University of Pennsylvania  Orchestra
project498,University of Pennsylvania  Developer Student Club
project499,University of Pennsylvania  Design For America
project500,University of Pennsylvania  Discussions Undergraduate Research Journal
project501,University of Florida at Miami Engineers Without Borders
project502,University of Florida at Miami Girls Who Code
project503,University of Florida at Miami Hackers Society
project504,University of Florida at Miami Biomedical Engineering Society
project505,University of Florida at Miami American Institute of Chemical Engineers
project506,University of Florida at Miami Baja Sae
project507,University of Florida at Miami Aeronautics Team
project508,University of Florida at Miami MedWish
project509,University of Florida at Miami Rocket Team
project510,University of Florida at Miami Global Health Design Collaborative
project511,University of Florida at Miami Graduate Civil Engineering Student Association
project512,University of Florida at Miami Medical Technology Group
project513,University of Florida at Miami oSTEM
project514,University of Florida at Miami Society of Hispanic Professional Engineers
project515,University of Florida at Miami Society of Women Engineers
project516,University of Florida at Miami Steel Bridge Team
project517,University of Florida at Miami Theta Tau
project518,University of Florida at Miami Women in Science and Engineering Roundtable
project519,University of Florida at Miami American Marketing Association
project520,University of Florida at Miami Association for Computing Machinery
project521,University of Florida at Miami Neuroscience Society
project522,University of Florida at Miami Orchestra
project523,University of Florida at Miami Developer Student Club
project524,University of Florida at Miami Design For America
project525,University of Florida at Miami Discussions Undergraduate Research Journal
project526,Yale University Engineers Without Borders
project527,Yale University Girls Who Code
project528,Yale University Hackers Society
project529,Yale University Biomedical Engineering Society
project530,Yale University American Institute of Chemical Engineers
project531,Yale University Baja Sae
project532,Yale University Aeronautics Team
project533,Yale University MedWish
project534,Yale University Rocket Team
project535,Yale University Global Health Design Collaborative
project536,Yale University Graduate Civil Engineering Student Association
project537,Yale University Medical Technology Group
project538,Yale University oSTEM
project539,Yale University Society of Hispanic Professional Engineers
project540,Yale University Society of Women Engineers
project541,Yale University Steel Bridge Team
project542,Yale University Theta Tau
project543,Yale University Women in Science and Engineering Roundtable
project544,Yale University American Marketing Association
project545,Yale University Association for Computing Machinery
project546,Yale University Neuroscience Society
project547,Yale University Orchestra
project548,Yale University Developer Student Club
project549,Yale University Design For America
project550,Yale University Discussions Undergraduate Research Journal
project551,Pomona College Engineers Without Borders
project552,Pomona College Girls Who Code
project553,Pomona College Hackers Society
project554,Pomona College Biomedical Engineering Society
project555,Pomona College American Institute of Chemical Engineers
project556,Pomona College Baja Sae
project557,Pomona College Aeronautics Team
project558,Pomona College MedWish
project559,Pomona College Rocket Team
project560,Pomona College Global Health Design Collaborative
project561,Pomona College Graduate Civil Engineering Student Association
project562,Pomona College Medical Technology Group
project563,Pomona College oSTEM
project564,Pomona College Society of Hispanic Professional Engineers
project565,Pomona College Society of Women Engineers
project566,Pomona College Steel Bridge Team
project567,Pomona College Theta Tau
project568,Pomona College Women in Science and Engineering Roundtable
project569,Pomona College American Marketing Association
project570,Pomona College Association for Computing Machinery
project571,Pomona College Neuroscience Society
project572,Pomona College Orchestra
project573,Pomona College Developer Student Club
project574,Pomona College Design For America
project575,Pomona College Discussions Undergraduate Research Journal
project576,University of California at Berkeley Engineers Without Borders
project577,University of California at Berkeley Girls Who Code
project578,University of California at Berkeley Hackers Society
project579,University of California at Berkeley Biomedical Engineering Society
project580,University of California at Berkeley American Institute of Chemical Engineers
project581,University of California at Berkeley Baja Sae
project582,University of California at Berkeley Aeronautics Team
project583,University of California at Berkeley MedWish
project584,University of California at Berkeley Rocket Team
project585,University of California at Berkeley Global Health Design Collaborative
project586,University of California at Berkeley Graduate Civil Engineering Student Association
project587,University of California at Berkeley Medical Technology Group
project588,University of California at Berkeley oSTEM
project589,University of California at Berkeley Society of Hispanic Professional Engineers
project590,University of California at Berkeley Society of Women Engineers
project591,University of California at Berkeley Steel Bridge Team
project592,University of California at Berkeley Theta Tau
project593,University of California at Berkeley Women in Science and Engineering Roundtable
project594,University of California at Berkeley American Marketing Association
project595,University of California at Berkeley Association for Computing Machinery
project596,University of California at Berkeley Neuroscience Society
project597,University of California at Berkeley Orchestra
project598,University of California at Berkeley Developer Student Club
project599,University of California at Berkeley Design For America
project600,University of California at Berkeley Discussions Undergraduate Research Journal
project601,Case Western Reserve University Math Club
project602,Case Western Reserve University Girls Who Code
project603,Case Western Reserve University Hackers Society
project604,Case Western Reserve University Biomedical Engineering Society
project605,Case Western Reserve University American Institute of Chemical Engineers
project606,Case Western Reserve University Baja Sae
project607,Case Western Reserve University Aeronautics Team
project608,Case Western Reserve University MedWish
project609,Case Western Reserve University Rocket Team
project610,Case Western Reserve University Global Health Design Collaborative
project611,Case Western Reserve University Graduate Civil Engineering Student Association
project612,Case Western Reserve University Medical Technology Group
project613,Case Western Reserve University oSTEM
project614,Case Western Reserve University Society of Hispanic Professional Engineers
project615,Case Western Reserve University Society of Women Engineers
project616,Case Western Reserve University Steel Bridge Team
project617,Case Western Reserve University Theta Tau
project618,Case Western Reserve University Women in Science and Engineering Roundtable
project619,Case Western Reserve University American Marketing Association
project620,Case Western Reserve University Association for Computing Machinery
project621,Case Western Reserve University Neuroscience Society
project622,Case Western Reserve University Orchestra
project623,Case Western Reserve University Developer Student Club
project624,Case Western Reserve University Design For America
project625,Case Western Reserve University Discussions Undergraduate Research Journal
project626,Ohio State University   Engineers Without Borders
project627,Ohio State University   Girls Who Code
project628,Ohio State University   Hackers Society
project629,Ohio State University   Biomedical Engineering Society
project630,Ohio State University   American Institute of Chemical Engineers
project631,Ohio State University   Baja Sae
project632,Ohio State University   Aeronautics Team
project633,Ohio State University   MedWish
project634,Ohio State University   Rocket Team
project635,Ohio State University   Global Health Design Collaborative
project636,Ohio State University   Graduate Civil Engineering Student Association
project637,Ohio State University   Medical Technology Group
project638,Ohio State University   oSTEM
project639,Ohio State University   Society of Hispanic Professional Engineers
project640,Ohio State University   Society of Women Engineers
project641,Ohio State University   Steel Bridge Team
project642,Ohio State University   Theta Tau
project643,Ohio State University   Women in Science and Engineering Roundtable
project644,Ohio State University   American Marketing Association
project645,Ohio State University   Association for Computing Machinery
project646,Ohio State University   Neuroscience Society
project647,Ohio State University   Orchestra
project648,Ohio State University   Developer Student Club
project649,Ohio State University   Design For America
project650,Ohio State University   Discussions Undergraduate Research Journal
project651,Indiana University Engineers Without Borders
project652,Indiana University Girls Who Code
project653,Indiana University Hackers Society
project654,Indiana University Biomedical Engineering Society
project655,Indiana University American Institute of Chemical Engineers
project656,Indiana University Baja Sae
project657,Indiana University Aeronautics Team
project658,Indiana University MedWish
project659,Indiana University Rocket Team
project660,Indiana University Global Health Design Collaborative
project661,Indiana University Graduate Civil Engineering Student Association
project662,Indiana University Medical Technology Group
project663,Indiana University oSTEM
project664,Indiana University Society of Hispanic Professional Engineers
project665,Indiana University Society of Women Engineers
project666,Indiana University Steel Bridge Team
project667,Indiana University Theta Tau
project668,Indiana University Women in Science and Engineering Roundtable
project669,Indiana University American Marketing Association
project670,Indiana University Association for Computing Machinery
project671,Indiana University Neuroscience Society
project672,Indiana University Orchestra
project673,Indiana University Developer Student Club
project674,Indiana University Design For America
project675,Indiana University Discussions Undergraduate Research Journal
project676,University of Pennsylvania  Engineers Without Borders
project677,University of Pennsylvania  Girls Who Code
project678,University of Pennsylvania  Hackers Society
project679,University of Pennsylvania  Biomedical Engineering Society
project680,University of Pennsylvania  American Institute of Chemical Engineers
project681,University of Pennsylvania  Baja Sae
project682,University of Pennsylvania  Aeronautics Team
project683,University of Pennsylvania  MedWish
project684,University of Pennsylvania  Rocket Team
project685,University of Pennsylvania  Global Health Design Collaborative
project686,University of Pennsylvania  Graduate Civil Engineering Student Association
project687,University of Pennsylvania  Medical Technology Group
project688,University of Pennsylvania  oSTEM
project689,University of Pennsylvania  Society of Hispanic Professional Engineers
project690,University of Pennsylvania  Society of Women Engineers
project691,University of Pennsylvania  Steel Bridge Team
