university_name,club_name
Michigan State University,Michigan State University Association for Computing Machinery
Michigan State University,Michigan State University Neuroscience Society
Michigan State University,Michigan State University Orchestra
Michigan State University,Michigan State University Developer Student Club
Michigan State University,Michigan State University Design For America
Michigan State University,Michigan State University Discussions Undergraduate Research Journal
Harvard University,Harvard University Engineers Without Borders
Harvard University,Harvard University Girls Who Code
Harvard University,Harvard University Hackers Society
Harvard University,Harvard University Biomedical Engineering Society
Harvard University,Harvard University American Institute of Chemical Engineers
Harvard University,Harvard University Baja Sae
Harvard University,Harvard University Aeronautics Team
Harvard University,Harvard University MedWish
Harvard University,Harvard University Rocket Team
Harvard University,Harvard University Global Health Design Collaborative
Harvard University,Harvard University Graduate Civil Engineering Student Association
Harvard University,Harvard University Medical Technology Group
Harvard University,Harvard University oSTEM
Harvard University,Harvard University Society of Hispanic Professional Engineers
Harvard University,Harvard University Society of Women Engineers
Harvard University,Harvard University Steel Bridge Team
Harvard University,Harvard University Theta Tau
Harvard University,Harvard University Women in Science and Engineering Roundtable
Harvard University,Harvard University American Marketing Association
Harvard University,Harvard University Association for Computing Machinery
Harvard University,Harvard University Neuroscience Society
Harvard University,Harvard University Orchestra
Harvard University,Harvard University Developer Student Club
Harvard University,Harvard University Design For America
Harvard University,Harvard University Discussions Undergraduate Research Journal
Boston University,Boston University Engineers Without Borders
Boston University,Boston University Girls Who Code
Boston University,Boston University Hackers Society
Boston University,Boston University Biomedical Engineering Society
Boston University,Boston University American Institute of Chemical Engineers
Boston University,Boston University Baja Sae
Boston University,Boston University Aeronautics Team
Boston University,Boston University MedWish
Boston University,Boston University Rocket Team
Boston University,Boston University Global Health Design Collaborative
Boston University,Boston University Graduate Civil Engineering Student Association
Boston University,Boston University Medical Technology Group
Boston University,Boston University oSTEM
Boston University,Boston University Society of Hispanic Professional Engineers
Boston University,Boston University Society of Women Engineers
Boston University,Boston University Steel Bridge Team
Boston University,Boston University Theta Tau
Boston University,Boston University Women in Science and Engineering Roundtable
Boston University,Boston University American Marketing Association
Boston University,Boston University Association for Computing Machinery
Boston University,Boston University Neuroscience Society
Boston University,Boston University Orchestra
Boston University,Boston University Developer Student Club
Boston University,Boston University Design For America
Boston University,Boston University Discussions Undergraduate Research Journal
Massachusetts Institute of Technology,Massachusetts Institute of Technology Engineers Without Borders
Massachusetts Institute of Technology,Massachusetts Institute of Technology Girls Who Code
Massachusetts Institute of Technology,Massachusetts Institute of Technology Hackers Society
Massachusetts Institute of Technology,Massachusetts Institute of Technology Biomedical Engineering Society
Massachusetts Institute of Technology,Massachusetts Institute of Technology American Institute of Chemical Engineers
Massachusetts Institute of Technology,Massachusetts Institute of Technology Baja Sae
Massachusetts Institute of Technology,Massachusetts Institute of Technology Aeronautics Team
Massachusetts Institute of Technology,Massachusetts Institute of Technology MedWish
Massachusetts Institute of Technology,Massachusetts Institute of Technology Rocket Team
Massachusetts Institute of Technology,Massachusetts Institute of Technology Global Health Design Collaborative
Massachusetts Institute of Technology,Massachusetts Institute of Technology Graduate Civil Engineering Student Association
Massachusetts Institute of Technology,Massachusetts Institute of Technology Medical Technology Group
Massachusetts Institute of Technology,Massachusetts Institute of Technology oSTEM
Massachusetts Institute of Technology,Massachusetts Institute of Technology Society of Hispanic Professional Engineers
Massachusetts Institute of Technology,Massachusetts Institute of Technology Society of Women Engineers
Massachusetts Institute of Technology,Massachusetts Institute of Technology Steel Bridge Team
Massachusetts Institute of Technology,Massachusetts Institute of Technology Theta Tau
Massachusetts Institute of Technology,Massachusetts Institute of Technology Women in Science and Engineering Roundtable
Massachusetts Institute of Technology,Massachusetts Institute of Technology American Marketing Association
Massachusetts Institute of Technology,Massachusetts Institute of Technology Association for Computing Machinery
Massachusetts Institute of Technology,Massachusetts Institute of Technology Neuroscience Society
Massachusetts Institute of Technology,Massachusetts Institute of Technology Orchestra
Massachusetts Institute of Technology,Massachusetts Institute of Technology Developer Student Club
Massachusetts Institute of Technology,Massachusetts Institute of Technology Design For America
Massachusetts Institute of Technology,Massachusetts Institute of Technology Discussions Undergraduate Research Journal
Northeastern University,Northeastern University Engineers Without Borders
Northeastern University,Northeastern University Girls Who Code
Northeastern University,Northeastern University Hackers Society
Northeastern University,Northeastern University Biomedical Engineering Society
Northeastern University,Northeastern University American Institute of Chemical Engineers
Northeastern University,Northeastern University Baja Sae
Northeastern University,Northeastern University Aeronautics Team
Northeastern University,Northeastern University MedWish
Northeastern University,Northeastern University Rocket Team
Northeastern University,Northeastern University Global Health Design Collaborative
Northeastern University,Northeastern University Graduate Civil Engineering Student Association
Northeastern University,Northeastern University Medical Technology Group
Northeastern University,Northeastern University oSTEM
Northeastern University,Northeastern University Society of Hispanic Professional Engineers
Northeastern University,Northeastern University Society of Women Engineers
Northeastern University,Northeastern University Steel Bridge Team
Northeastern University,Northeastern University Theta Tau
Northeastern University,Northeastern University Women in Science and Engineering Roundtable
Northeastern University,Northeastern University American Marketing Association
Northeastern University,Northeastern University Association for Computing Machinery
Northeastern University,Northeastern University Neuroscience Society
Northeastern University,Northeastern University Orchestra
Northeastern University,Northeastern University Developer Student Club
Northeastern University,Northeastern University Design For America
Northeastern University,Northeastern University Discussions Undergraduate Research Journal
Harvey Mudd College,Harvey Mudd College Engineers Without Borders
Harvey Mudd College,Harvey Mudd College Girls Who Code
Harvey Mudd College,Harvey Mudd College Hackers Society
Harvey Mudd College,Harvey Mudd College Biomedical Engineering Society
Harvey Mudd College,Harvey Mudd College American Institute of Chemical Engineers
Harvey Mudd College,Harvey Mudd College Baja Sae
Harvey Mudd College,Harvey Mudd College Aeronautics Team
Harvey Mudd College,Harvey Mudd College MedWish
Harvey Mudd College,Harvey Mudd College Rocket Team
Harvey Mudd College,Harvey Mudd College Global Health Design Collaborative
Harvey Mudd College,Harvey Mudd College Graduate Civil Engineering Student Association
Harvey Mudd College,Harvey Mudd College Medical Technology Group
Harvey Mudd College,Harvey Mudd College oSTEM
Harvey Mudd College,Harvey Mudd College Society of Hispanic Professional Engineers
Harvey Mudd College,Harvey Mudd College Society of Women Engineers
Harvey Mudd College,Harvey Mudd College Steel Bridge Team
Harvey Mudd College,Harvey Mudd College Theta Tau
Harvey Mudd College,Harvey Mudd College Women in Science and Engineering Roundtable
Harvey Mudd College,Harvey Mudd College American Marketing Association
Harvey Mudd College,Harvey Mudd College Association for Computing Machinery
Harvey Mudd College,Harvey Mudd College Neuroscience Society
Harvey Mudd College,Harvey Mudd College Orchestra
Harvey Mudd College,Harvey Mudd College Developer Student Club
Harvey Mudd College,Harvey Mudd College Design For America
Harvey Mudd College,Harvey Mudd College Discussions Undergraduate Research Journal
Middlebury College,Middlebury College Engineers Without Borders
Middlebury College,Middlebury College Girls Who Code
Middlebury College,Middlebury College Hackers Society
Middlebury College,Middlebury College Biomedical Engineering Society
Middlebury College,Middlebury College American Institute of Chemical Engineers
Middlebury College,Middlebury College Baja Sae
Middlebury College,Middlebury College Aeronautics Team
Middlebury College,Middlebury College MedWish
Middlebury College,Middlebury College Rocket Team
Middlebury College,Middlebury College Global Health Design Collaborative
Middlebury College,Middlebury College Graduate Civil Engineering Student Association
Middlebury College,Middlebury College Medical Technology Group
Middlebury College,Middlebury College oSTEM
Middlebury College,Middlebury College Society of Hispanic Professional Engineers
Middlebury College,Middlebury College Society of Women Engineers
Middlebury College,Middlebury College Steel Bridge Team
Middlebury College,Middlebury College Theta Tau
Middlebury College,Middlebury College Women in Science and Engineering Roundtable
Middlebury College,Middlebury College American Marketing Association
Middlebury College,Middlebury College Association for Computing Machinery
Middlebury College,Middlebury College Neuroscience Society
Middlebury College,Middlebury College Orchestra
Middlebury College,Middlebury College Developer Student Club
Middlebury College,Middlebury College Design For America
Middlebury College,Middlebury College Discussions Undergraduate Research Journal
University of Pennsylvania ,University of Pennsylvania  Engineers Without Borders
University of Pennsylvania ,University of Pennsylvania  Girls Who Code
University of Pennsylvania ,University of Pennsylvania  Hackers Society
University of Pennsylvania ,University of Pennsylvania  Biomedical Engineering Society
University of Pennsylvania ,University of Pennsylvania  American Institute of Chemical Engineers
University of Pennsylvania ,University of Pennsylvania  Baja Sae
University of Pennsylvania ,University of Pennsylvania  Aeronautics Team
University of Pennsylvania ,University of Pennsylvania  MedWish
University of Pennsylvania ,University of Pennsylvania  Rocket Team
University of Pennsylvania ,University of Pennsylvania  Global Health Design Collaborative
University of Pennsylvania ,University of Pennsylvania  Graduate Civil Engineering Student Association
University of Pennsylvania ,University of Pennsylvania  Medical Technology Group
University of Pennsylvania ,University of Pennsylvania  oSTEM
University of Pennsylvania ,University of Pennsylvania  Society of Hispanic Professional Engineers
University of Pennsylvania ,University of Pennsylvania  Society of Women Engineers
University of Pennsylvania ,University of Pennsylvania  Steel Bridge Team
University of Pennsylvania ,University of Pennsylvania  Theta Tau
University of Pennsylvania ,University of Pennsylvania  Women in Science and Engineering Roundtable
University of Pennsylvania ,University of Pennsylvania  American Marketing Association
University of Pennsylvania ,University of Pennsylvania  Association for Computing Machinery
University of Pennsylvania ,University of Pennsylvania  Neuroscience Society
University of Pennsylvania ,University of Pennsylvania  Orchestra
University of Pennsylvania ,University of Pennsylvania  Developer Student Club
University of Pennsylvania ,University of Pennsylvania  Design For America
University of Pennsylvania ,University of Pennsylvania  Discussions Undergraduate Research Journal
University of Florida at Miami,University of Florida at Miami Engineers Without Borders
University of Florida at Miami,University of Florida at Miami Girls Who Code
University of Florida at Miami,University of Florida at Miami Hackers Society
University of Florida at Miami,University of Florida at Miami Biomedical Engineering Society
University of Florida at Miami,University of Florida at Miami American Institute of Chemical Engineers
University of Florida at Miami,University of Florida at Miami Baja Sae
University of Florida at Miami,University of Florida at Miami Aeronautics Team
University of Florida at Miami,University of Florida at Miami MedWish
University of Florida at Miami,University of Florida at Miami Rocket Team
University of Florida at Miami,University of Florida at Miami Global Health Design Collaborative
University of Florida at Miami,University of Florida at Miami Graduate Civil Engineering Student Association
University of Florida at Miami,University of Florida at Miami Medical Technology Group
University of Florida at Miami,University of Florida at Miami oSTEM
University of Florida at Miami,University of Florida at Miami Society of Hispanic Professional Engineers
University of Florida at Miami,University of Florida at Miami Society of Women Engineers
University of Florida at Miami,University of Florida at Miami Steel Bridge Team
University of Florida at Miami,University of Florida at Miami Theta Tau
University of Florida at Miami,University of Florida at Miami Women in Science and Engineering Roundtable
University of Florida at Miami,University of Florida at Miami American Marketing Association
University of Florida at Miami,University of Florida at Miami Association for Computing Machinery
University of Florida at Miami,University of Florida at Miami Neuroscience Society
University of Florida at Miami,University of Florida at Miami Orchestra
University of Florida at Miami,University of Florida at Miami Developer Student Club
University of Florida at Miami,University of Florida at Miami Design For America
University of Florida at Miami,University of Florida at Miami Discussions Undergraduate Research Journal
Yale University,Yale University Engineers Without Borders
Yale University,Yale University Girls Who Code
Yale University,Yale University Hackers Society
Yale University,Yale University Biomedical Engineering Society
Yale University,Yale University American Institute of Chemical Engineers
Yale University,Yale University Baja Sae
Yale University,Yale University Aeronautics Team
Yale University,Yale University MedWish
Yale University,Yale University Rocket Team
Yale University,Yale University Global Health Design Collaborative
Yale University,Yale University Graduate Civil Engineering Student Association
Yale University,Yale University Medical Technology Group
Yale University,Yale University oSTEM
